Sample	Set	Plate	Well	Notes	BC
19362	set 8	Plate 1	A1	100004	8
19366	set 8	Plate 1	B1	100037	12
19803	set 9	Plate 1	C1	100040	4
19807	set 9	Plate 1	D1	100059	8
19811	set 9	Plate 1	E1	100109	12
19815	set 10	Plate 1	F1	100127	4
19818	set 10	Plate 1	G1	100129	7
19821	set 10	Plate 1	H1	100139	10
19363	set 8	Plate 1	A2	100169	9
21049	set 12	12/2/11	A1	100169	1
19800	set 9	Plate 1	B2	100174	1
19804	set 9	Plate 1	C2	100176	5
19808	set 9	Plate 1	D2	100183	9
19812	set 10	Plate 1	E2	100188	1
19816	set 10	Plate 1	F2	100193	5
19819	set 10	Plate 1	G2	100211	8
19364	set 8	Plate 1	A3	100214	10
21050	set 12	12/2/11	B1	100214	2
19801	set 9	Plate 1	B3	100222	2
19805	set 9	Plate 1	C3	100229	6
19809	set 9	Plate 1	D3	100234	10
19813	set 10	Plate 1	E3	100237	2
19817	set 10	Plate 1	F3	100271	6
19820	set 10	Plate 1	G3	100289	9
19823	set 10	Plate 1	H3	100291	12
19365	set 8	Plate 1	A4	100295	11
19802	set 9	Plate 1	B4	100305	3
19806	set 9	Plate 1	C4	100329	7
19810	set 9	Plate 1	D4	100331	11
19814	set 10	Plate 1	E4	100334	3
21051	set 12	12/2/11	C1	200048	3
21052	set 12	12/2/11	D1	200123	4
21053	set 12	12/2/11	E1	300015	5
19355	set 8	Plate 2	H5	300148	1
21054	set 12	12/2/11	F1	300158	6
19356	set 8	Plate 2	H6	300251	2
19357	set 8	Plate 2	H7	400024	3
19358	set 8	Plate 2	H8	400057	4
19359	set 8	Plate 2	H9	500048	5
19360	set 8	Plate 2	H10	500131	6
19361	set 8	Plate 2	H11	700036	7
21077	set 14	12/2/11	E4	043D	5
21065	set 13	12/2/11	A3	043R	5
21073	set 14	12/2/11	A4	050D	1
21066	set 13	12/2/11	B3	050R	6
21081	set 14	12/2/11	C5	050R2	9
21079	set 14	12/2/11	G4	056D	7
21067	set 13	12/2/11	C3	056R	7
21074	set 14	12/2/11	B4	067D	2
21068	set 13	12/2/11	D3	067R	8
21082	set 14	12/2/11	D5	067R2	10
21075	set 14	12/2/11	C4	078D	3
21069	set 13	12/2/11	E3	078R	9
21076	set 14	12/2/11	D4	092D	4
21070	set 13	12/2/11	F3	092R	10
19832	set 11	tube		100212 new	9
19822	set 10	tube		100212A	11
19826	set 11	tube		100212B	3
19834	set 11	tube		100470A new	11
19835	set 11	tube		100470B new	12
21080	set 14	12/2/11	H4	115D	8
21071	set 13	12/2/11	G3	115R	11
21078	set 14	12/2/11	F4	142D	6
21072	set 13	12/2/11	H3	142R	12
21057	set 12	12/2/11	A2	300015A	9
21058	set 12	12/2/11	B2	300015B	10
21059	set 12	12/2/11	C2	300015C	11
21060	set 12	12/2/11	D2	300015D	12
21061	set 13	12/2/11	E2	300015E	1
21062	set 13	12/2/11	F2	300158A	2
21063	set 13	12/2/11	G2	300158B	3
21064	set 13	12/2/11	H2	300158C	4
21055	set 12	12/2/11	G1	300158D	7
21056	set 12	12/2/11	H1	300158E	8
19831	set 11	tube		400024 new	8
19827	set 11	tube		400024A	4
19828	set 11	tube		400024B	5
19829	set 11	tube		400024C	6
19830	set 11	tube		400024D	7
19824	set 11	tube		400096A	1
19825	set 11	tube		400096B	2
19833	set 11	tube		40096 new	10
21108	set 14			rep of DS21055	11
21109	set 14			rep of DS21060	12
